validation_role,filename,source_s3_uri,source_recording_id,source_clip_num,window_index,murphy_pool_label,eb_overall_label,eb_rain_present,eb_rain_intensity,eb_rain_confidence,eb_wind_present,eb_wind_intensity,eb_wind_confidence,eb_thunder_present,eb_thunder_intensity,eb_thunder_confidence
external_cross_check_not_training_data,060__rec_1401640__clip_003__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_003.webm,1401640,3,0,rain,rain,True,heavy,0.603805,False,none,0.253167,False,none,0.239645
external_cross_check_not_training_data,061__rec_1401640__clip_004__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_004.webm,1401640,4,0,rain,rain,True,heavy,0.622819,False,none,0.230198,False,none,0.253558
external_cross_check_not_training_data,062__rec_1401640__clip_005__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_005.webm,1401640,5,1,rain,rain,True,heavy,0.596698,False,none,0.261995,False,none,0.231696
external_cross_check_not_training_data,063__rec_1401640__clip_007__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_007.webm,1401640,7,2,rain,rain,True,heavy,0.622345,False,none,0.237055,False,none,0.229486
external_cross_check_not_training_data,064__rec_1401640__clip_008__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_008.webm,1401640,8,1,rain,rain,True,heavy,0.617753,False,none,0.236701,False,none,0.232263
external_cross_check_not_training_data,065__rec_1401640__clip_009__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_009.webm,1401640,9,2,rain,rain,True,heavy,0.61807,False,none,0.239622,False,none,0.248935
external_cross_check_not_training_data,066__rec_1401640__clip_010__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_010.webm,1401640,10,1,rain,rain,True,heavy,0.614053,False,none,0.251477,False,none,0.277955
external_cross_check_not_training_data,067__rec_1401640__clip_011__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_011.webm,1401640,11,0,rain,rain,True,heavy,0.6213,False,none,0.238582,False,none,0.228657
external_cross_check_not_training_data,068__rec_1401640__clip_012__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_012.webm,1401640,12,0,rain,rain,True,heavy,0.610382,False,none,0.251454,False,none,0.247172
external_cross_check_not_training_data,069__rec_1401640__clip_013__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_013.webm,1401640,13,1,rain,rain,True,heavy,0.613249,False,none,0.254059,False,none,0.239513
external_cross_check_not_training_data,070__rec_1401640__clip_014__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_014.webm,1401640,14,1,rain,rain,True,heavy,0.599603,False,none,0.267721,False,none,0.258467
external_cross_check_not_training_data,071__rec_1401640__clip_015__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_015.webm,1401640,15,2,rain,rain,True,heavy,0.60219,False,none,0.252579,False,none,0.232167
external_cross_check_not_training_data,072__rec_1401640__clip_016__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_016.webm,1401640,16,2,rain,rain,True,light,0.587397,False,none,0.261162,False,none,0.234729
